"Source";"Target";"Type";"Year"
15046;10518;"Directed";1986
15046;1511;"Directed";1986
15046;18252;"Directed";1986
15046;14343;"Directed";1986
15046;4242;"Directed";1986
15046;14604;"Directed";1986
15046;36157;"Directed";1986
15046;24363;"Directed";1986
15046;9109;"Directed";1986
15046;6172;"Directed";1986
15046;11499;"Directed";1986
15046;9223;"Directed";1986
15046;20966;"Directed";1986
15046;32682;"Directed";1986
15046;81;"Directed";1986
15046;25847;"Directed";1986
15046;7160;"Directed";1986
15046;1552;"Directed";1986
15046;19192;"Directed";1986
15046;25862;"Directed";1986
15046;37138;"Directed";1986
15046;16396;"Directed";1986
15046;27202;"Directed";1986
15046;26176;"Directed";1986
15046;30074;"Directed";1986
15046;24084;"Directed";1986
15046;90;"Directed";1986
15046;17075;"Directed";1986
15046;5933;"Directed";1986
15046;9432;"Directed";1986
15046;6504;"Directed";1986
15046;30060;"Directed";1986
15046;11752;"Directed";1986
15046;10022;"Directed";1986
15046;30397;"Directed";1986
15046;26205;"Directed";1986
15046;2157;"Directed";1986
15046;25900;"Directed";1986
15046;10870;"Directed";1986
15046;9180;"Directed";1986
15046;134;"Directed";1986
15046;36109;"Directed";1986
15046;35406;"Directed";1986
15046;13206;"Directed";1986
15046;34218;"Directed";1986
15046;29794;"Directed";1986
15046;1881;"Directed";1986
15046;16807;"Directed";1986
15046;7308;"Directed";1986
15046;6545;"Directed";1986
15046;23309;"Directed";1986
15046;27707;"Directed";1986
15046;15011;"Directed";1986
15046;2774;"Directed";1986
15046;29828;"Directed";1986
15046;14707;"Directed";1986
15046;31298;"Directed";1986
15046;16281;"Directed";1986
15046;30730;"Directed";1986
15046;14715;"Directed";1986
15046;27719;"Directed";1986
15046;36362;"Directed";1986
15046;36433;"Directed";1986
15046;7176;"Directed";1986
15046;14537;"Directed";1986
15046;18482;"Directed";1986
15046;18242;"Directed";1986
15046;8335;"Directed";1986
15046;27152;"Directed";1986
15046;16266;"Directed";1986
15046;29862;"Directed";1986
15046;10177;"Directed";1986
15046;24781;"Directed";1986
15046;213;"Directed";1986
15046;18105;"Directed";1986
15046;1951;"Directed";1986
15046;27469;"Directed";1986
15046;32240;"Directed";1986
15046;5223;"Directed";1986
15046;36660;"Directed";1986
15046;13585;"Directed";1986
15046;3139;"Directed";1986
15046;4574;"Directed";1986
15046;36699;"Directed";1986
15046;34334;"Directed";1986
15046;23946;"Directed";1986
15046;15386;"Directed";1986
15046;25420;"Directed";1986
15046;16762;"Directed";1986
15046;11576;"Directed";1986
15046;4300;"Directed";1986
15046;11271;"Directed";1986
15046;21092;"Directed";1986
15046;4304;"Directed";1986
15046;18462;"Directed";1986
15046;2590;"Directed";1986
